Station_ID,MLRA,LRU
USC00415097,78C,78C
USC00415852,78C,78C
USC00410013,78C,78C
USW00013962,78C,78C
USC00414026,78C,78C
USC00410268,78C,78C
USC00417782,78C,78C
USC00413890,78C,78C
USC00418583,78C,78C
USC00413992,78C,78C
USC00416636,78C,78C
USC00416146,78C,78C
USC00410708,78C,78C
USC00418221,78C,78C
USC00414982,78C,78C
USC00419163,78C,78C
USC00412633,78C,78C
USC00412818,78C,78C
USC00419346,78C,78C
USC00419662,78C,78C
USC00410157,78C,78C
USC00411408,78C,78C
USC00344249,78B,78B
USC00349212,78B,78B
USC00419501,78B,78B
USC00417669,78B,78B
USW00003072,78B,78B
USC00416495,78B,78B
USC00414974,78B,78B
USC00411903,78B,78B
USC00417743,78B,78B
USC00414841,78B,78B
USC00418433,78B,78B
USC00413411,78B,78B
USC00414967,78B,78B
USC00410394,78B,78B
USC00417206,78B,78B
USC00414570,78B,78B
USC00419711,78B,78B
USC00418566,78B,78B
USC00418468,78B,78B
USC00417060,78B,78B
USC00413828,78B,78B
USC00416742,78B,78B
USC00412621,78B,78B
USC00416745,78B,78B
USC00415086,78B,78B
USC00416740,78B,78B
USC00415658,78B,78B
USC00411995,78B,78B
USC00413195,78B,78B
USC00416433,78B,78B
USC00413196,78B,78B
USC00417336,78B,78B
USC00419191,78B,78B
USW00023007,78B,78B
USC00411694,78B,78B
USC00415821,78B,78B
USC00419565,78B,78B
USW00023072,78B,78B
USC00418236,78B,78B
USC00416747,78A,78A
USC00411934,78A,78A
USC00411875,78A,78A
USC00414278,78A,78A
USC00413579,78A,78A
USC00418326,78A,78A
USC00411239,78A,78A
USC00417327,78A,78A
USC00410120,78A,78A
USC00413265,78A,78A
USC00419893,78A,78A
USC00419014,78A,78A
USC00419016,78A,78A
USW00013975,77E,77E
USC00343070,77E,77E
USC00345045,77E,77E
USC00340593,77E,77E
USC00343489,77E,77E
USC00415770,77E,77E
USC00419330,77E,77E
USC00410071,77E,77E
USC00416785,77E,77E
USC00415127,77E,77E
USC00411000,77E,77E
USC00410958,77E,77E
USW00003024,77E,77E
USC00415875,77E,77E
USC00418040,77E,77E
USC00411412,77E,77E
USC00413568,77E,77E
USC00411407,77E,77E
USC00412238,77E,77E
USC00416477,77E,77E
USC00416952,77E,77E
USC00414140,77E,77E
USC00415247,77E,77E
USC00413225,77E,77E
USC00412282,77E,77E
USC00294030,77D,77D
USC00298713,77D,77D
USC00291445,77D,77D
USC00292207,77D,77D
USC00292854,77D,77D
USC00295617,77D,77D
USC00294175,77D,77D
USC00416506,77D,77D
USC00416502,77D,77D
USW00003031,77D,77D
USC00410248,77D,77D
USC00290525,77C,77C
USC00297008,77C,77C
USC00291939,77C,77C
USC00291963,77C,77C
USC00297226,77C,77C
USW00023023,77C,77C
USC00415892,77C,77C
USC00415891,77C,77C
USC00415120,77C,77C
USW00023041,77C,77C
USC00415158,77C,77C
USC00410781,77C,77C
USC00418201,77C,77C
USC00415013,77C,77C
USC00415351,77C,77C
USC00412408,77C,77C
USC00418818,77C,77C
USC00417074,77C,77C
USC00411128,77C,77C
USC00418477,77C,77C
USC00418373,77C,77C
USC00417433,77C,77C
USC00415183,77C,77C
USC00412121,77C,77C
USW00023042,77C,77C
USC00415408,77C,77C
USC00418232,77C,77C
USC00416074,77C,77C
USC00410012,77C,77C
USC00413215,77C,77C
USC00415265,77C,77C
USC00416137,77C,77C
USW00003054,77C,77C
USC00413214,77C,77C
USC00416644,77C,77C
